"Model_ID", "type", "size_MB", "dtype", "accuracy_%", "latency_ms"
"kan o 16-4 WM 1.0", "orginal", 3.58, "float32", 88.92, 14.92
"kan h 16-4 WM 1.0", "hybrid", 1.08, "int8+float32", 88.83, 0.94
"kan t 16-4 WM 1.0", "tflite", 1.28, "int8", 87.93, 3.2
"kan o 16-4 WM 0.75", "orginal", 2.26, "float32", 88.32, 17.99
"kan h 16-4 WM 0.75", "hybrid", 0.71, "int8+float32", 88.32, 0.80
"kan t 16-4 WM 0.75", "tflite", 0.86, "int8", 87.93, 2.8
"kan o 16-4 WM 0.668", "orginal", 1.68, "float32", 87.58, 17.89
"kan h 16-4 WM 0.668", "hybrid", 0.58, "int8+float32", 87.70, 0.75
"kan t 16-4 WM 0.668", "tflite", 0.72, "int8", 87.17, 2.47
"kan o 16-4 WM 0.5", "orginal", 1.11, "float32", 87.37, 13.42
"kan h 16-4 WM 0.5", "hybrid", 0.41, "int8+float32", 87.38, 0.62
"kan t 16-4 WM 0.5", "tflite", 0.51, "int8", 85.70, 2.81
"kan o 32-16 WM 1.0", "orginal", 3.64, "float32", 88.47, 35.16
"kan h 32-16 WM 1.0", "hybrid", 1.15, "int8+float32", 88.57, 1.36
"kan t 32-16 WM 1.0", "tflite", 1.34, "int8", 87.08, 3.29
"kan o 32-16 WM 0.75", "orginal", 2.32, "float32", 87.58, 33.18
"kan h 32-16 WM 0.75", "hybrid", 0.76, "int8+float32", 87.55, 1.20
"kan t 32-16 WM 0.75", "tflite", 0.92, "int8", 86.70, 2.76
"kan o 32-24-16 WM 0.75", "orginal", 2.24, "float32", 88.08, 52.68
"kan t 32-24-16 WM 0.75", "tflite", 0.99, "int8", 86.65, 2.84
"kan o 32-24-16 WM 0.5", "orginal", 1.09, "float32", 86.77, 51.87
"kan t 32-24-16 WM 0.5", "tflite", 0.64, "int8", 85.68, 1.90
"kan o 64-32-24-16 WM 1.0", "orginal", 3.88, "float32", 88.77, 156.47
"kan h 64-32-24-16 WM 1.0", "hybrid", 1.40, "int8+float32", 88.60, 30.33
"kan t 64-32-24-16 WM 1.0", "tflite", 1.59, "int8", 86.62, 3.55
"kan o 64-32-24-16 WM 0.75", "orginal", 2.42, "float32", 87.60, 153.05
"kan h 64-32-24-16 WM 0.75", "hybrid", 0.99, "int8+float32", 87.35, 3.20
"kan t 64-32-24-16 WM 0.75", "tflite", 1.16, "int8", 85.27, 3.23
