Model_ID,image_size,learning_rate,type,size_MB,dtype,total_params,trainable_params,total_params_and_buffers,peak_activation_kb,accuracy_%,latency_single_ms,latency_batch64_ms,precision_%,recall_%,f1_%,cm_tn,cm_fp,cm_fn,cm_tp
kan o 16-4 WM 1.0,112,0.003,original,3.624,float32,937688.0,937280.0,937688.0,6240.7,83.15,12.62,0.857,83.51,83.15,83.11,2649.0,351.0,660.0,2340.0
kan t 16-4 WM 1.0,112,0.003,tflite,1.25,int8,940201.0,0.0,6582827.0,392.0,82.33,3.09,3.063,82.94,82.33,82.25,2673.0,327.0,733.0,2267.0
kan o 16-4 WM 0.334,224,0.003,original,0.5,float32,126992.0,126584.0,126992.0,8913.0,85.28,10.56,0.406,85.41,85.28,85.27,2647.0,353.0,530.0,2470.0
kan t 16-4 WM 0.334,224,0.003,tflite,0.282,int8,126061.0,0.0,2381421.0,196.0,84.28,0.58,0.565,84.41,84.28,84.27,2436.0,564.0,379.0,2621.0
kan o 16-4 WM 0.5,224,0.003,original,1.025,float32,262368.0,261960.0,262368.0,12490.2,87.37,11.0,0.487,87.51,87.37,87.35,2715.0,285.0,473.0,2527.0
kan h 16-4 WM 0.5,224,0.003,hybrid,0.417,int8+float32,262368.0,0.0,262368.0,12490.2,87.38,10.85,0.489,87.49,87.38,87.37,2701.0,299.0,458.0,2542.0
kan t 16-4 WM 0.5,224,0.003,tflite,0.496,int8,263191.0,0.0,3441271.0,196.0,86.48,1.78,1.75,86.51,86.48,86.48,2555.0,445.0,366.0,2634.0
kan o 16-4 WM 0.668,224,0.003,original,1.707,float32,439128.0,438720.0,439128.0,17629.2,87.58,10.97,0.67,87.67,87.58,87.58,2699.0,301.0,444.0,2556.0
kan h 16-4 WM 0.668,224,0.003,hybrid,0.599,int8+float32,439128.0,0.0,439128.0,17629.2,87.7,10.81,0.657,87.8,87.7,87.69,2710.0,290.0,448.0,2552.0
kan t 16-4 WM 0.668,224,0.003,tflite,0.701,int8,439015.0,0.0,4948751.0,392.0,87.47,2.44,2.378,87.47,87.47,87.47,2626.0,374.0,378.0,2622.0
kan o 16-4 WM 0.75,224,0.003,original,2.175,float32,560752.0,560344.0,560752.0,19580.4,88.32,12.11,0.722,88.49,88.32,88.3,2750.0,250.0,451.0,2549.0
kan h 16-4 WM 0.75,224,0.003,hybrid,0.719,int8+float32,560752.0,0.0,560752.0,19580.4,88.32,12.06,0.742,88.46,88.32,88.31,2742.0,258.0,443.0,2557.0
kan t 16-4 WM 0.75,224,0.003,tflite,0.837,int8,560967.0,0.0,5466727.0,392.0,86.67,2.7,2.63,86.7,86.67,86.66,2557.0,443.0,357.0,2643.0
kan o 16-4 WM 1.0,224,0.003,original,3.624,float32,937688.0,937280.0,937688.0,23901.7,88.92,11.86,0.92,89.06,88.92,88.91,2758.0,242.0,423.0,2577.0
kan h 16-4 WM 1.0,224,0.003,hybrid,1.098,int8+float32,937688.0,0.0,937688.0,23901.7,88.83,11.89,0.867,89.02,88.83,88.82,2768.0,232.0,438.0,2562.0
kan t 16-4 WM 1.0,224,0.003,tflite,1.174,int8,930745.0,0.0,6680477.0,392.0,86.2,1.37,1.381,86.69,86.2,86.15,2413.0,587.0,241.0,2759.0
kan o 16-4 WM 0.334,96,0.001,original,0.5,float32,126992.0,126584.0,126992.0,1648.0,80.35,9.81,0.419,82.23,80.35,80.06,2773.0,227.0,952.0,2048.0
kan o 16-4 WM 0.75,96,0.001,original,2.175,float32,560752.0,560344.0,560752.0,3620.4,82.62,11.63,0.741,83.8,82.62,82.46,2759.0,241.0,802.0,2198.0
kan h 16-4 WM 0.75,96,0.001,hybrid,0.719,int8+float32,560752.0,0.0,560752.0,3620.4,82.37,11.72,0.747,83.72,82.37,82.19,2772.0,228.0,830.0,2170.0
kan o 16-4 WM 1.0,96,0.001,original,3.624,float32,937688.0,937280.0,937688.0,4421.7,85.77,12.0,0.917,85.91,85.77,85.75,2667.0,333.0,521.0,2479.0
kan h 16-4 WM 1.0,96,0.001,hybrid,1.098,int8+float32,937688.0,0.0,937688.0,4421.7,85.7,11.82,0.859,85.83,85.7,85.69,2663.0,337.0,521.0,2479.0
kan o 16-4 WM 0.334,96,0.003,original,0.5,float32,126992.0,126584.0,126992.0,1648.0,81.22,10.27,0.394,83.0,81.22,80.96,2785.0,215.0,912.0,2088.0
kan t 16-4 WM 0.334,96,0.003,tflite,0.331,int8,129306.0,0.0,1720243.0,144.0,84.47,0.43,0.401,84.78,84.47,84.43,2676.0,324.0,608.0,2392.0
kan o 16-4 WM 0.5,96,0.003,original,1.025,float32,262368.0,261960.0,262368.0,2310.2,85.3,10.85,0.486,85.5,85.3,85.28,2672.0,328.0,554.0,2446.0
kan h 16-4 WM 0.5,96,0.003,hybrid,0.417,int8+float32,262368.0,0.0,262368.0,2310.2,75.65,10.98,0.524,78.6,75.65,75.01,2751.0,249.0,1212.0,1788.0
kan t 16-4 WM 0.5,96,0.003,tflite,0.419,int8,258457.0,0.0,2367841.0,144.0,81.6,0.51,0.463,83.01,81.6,81.4,2138.0,862.0,242.0,2758.0
kan o 16-4 WM 1.0,96,0.003,original,3.624,float32,937688.0,937280.0,937688.0,4421.7,78.52,11.77,0.85,79.35,78.52,78.36,2608.0,392.0,897.0,2103.0
kan h 16-4 WM 1.0,96,0.003,hybrid,1.098,int8+float32,937688.0,0.0,937688.0,4421.7,78.42,12.09,0.885,79.48,78.42,78.22,2637.0,363.0,932.0,2068.0
kan t 16-4 WM 1.0,96,0.003,tflite,1.25,int8,936553.0,0.0,5102091.0,288.0,79.5,2.33,2.286,80.68,79.5,79.3,2679.0,321.0,909.0,2091.0
