Model_ID,type,size_MB,dtype,total_params,trainable_params,total_params_and_buffers,peak_activation_kb,accuracy_%,latency_single_ms,precision_%,recall_%,f1_%,cm_tn,cm_fp,cm_fn,cm_tp
kan o 16-4 WM 0.5,original,1.025,float32,262368.0,261960.0,262368.0,12490.2,87.37,34.75,87.51,87.37,87.35,2715.0,285.0,473.0,2527.0
kan h 16-4 WM 0.5,hybrid,0.417,int8+float32,262368.0,0.0,262368.0,12490.2,87.38,30.83,87.49,87.38,87.37,2701.0,299.0,458.0,2542.0
kan t 16-4 WM 0.5,tflite,0.496,int8,263191.0,0.0,3441271.0,3103.6,86.48,1.76,86.51,86.48,86.48,2555.0,445.0,366.0,2634.0
kan o 16-4 WM 0.668,original,1.707,float32,439128.0,438720.0,439128.0,17629.2,87.58,33.63,87.67,87.58,87.58,2699.0,301.0,444.0,2556.0
kan h 16-4 WM 0.668,hybrid,0.599,int8+float32,439128.0,0.0,439128.0,17629.2,87.7,31.62,87.8,87.7,87.69,2710.0,290.0,448.0,2552.0
kan t 16-4 WM 0.668,tflite,0.701,int8,439015.0,0.0,4948751.0,4404.0,87.47,2.41,87.47,87.47,87.47,2626.0,374.0,378.0,2622.0
kan o 16-4 WM 0.75,original,2.175,float32,560752.0,560344.0,560752.0,19580.4,88.32,33.66,88.49,88.32,88.3,2750.0,250.0,451.0,2549.0
kan h 16-4 WM 0.75,hybrid,0.719,int8+float32,560752.0,0.0,560752.0,19580.4,88.32,29.54,88.46,88.32,88.31,2742.0,258.0,443.0,2557.0
kan t 16-4 WM 0.75,tflite,0.837,int8,560967.0,0.0,5466727.0,4790.8,86.67,2.72,86.7,86.67,86.66,2557.0,443.0,357.0,2643.0
kan o 16-4 WM 1.0,original,3.624,float32,937688.0,937280.0,937688.0,23901.7,88.92,40.66,89.06,88.92,88.91,2758.0,242.0,423.0,2577.0
kan h 16-4 WM 1.0,hybrid,1.098,int8+float32,937688.0,0.0,937688.0,23901.7,88.83,37.44,89.02,88.83,88.82,2768.0,232.0,438.0,2562.0
kan t 16-4 WM 1.0,tflite,1.25,int8,936701.0,0.0,6848951.0,5773.7,88.32,3.18,88.5,88.32,88.3,2752.0,248.0,453.0,2547.0
kan o 24-16 WM 0.25,original,1.275,float32,,,,,,,,,,,,,
kan t 24-16 WM 0.25,tflite,0.309,int8,98104.0,0.0,2266183.0,2117.3,83.77,1.19,83.78,83.77,83.76,2482.0,518.0,456.0,2544.0
kan o 24-16 WM 0.334,original,1.777,float32,,,,,,,,,,,,,
kan t 24-16 WM 0.334,tflite,0.367,int8,141485.0,0.0,2578719.0,2380.1,84.22,1.38,84.26,84.22,84.21,2472.0,528.0,419.0,2581.0
kan o 24-16 WM 0.5,original,3.341,float32,,,,,,,,,,,,,
kan t 24-16 WM 0.5,tflite,0.535,int8,278391.0,0.0,3471447.0,3118.2,86.2,1.79,86.23,86.2,86.2,2543.0,457.0,371.0,2629.0
kan o 24-16 WM 0.75,original,6.779,float32,,,,,,,,,,,,,
